model,station,n_test,r2,rmse,mae
Lasso_Baseline,Cerrillos II,1287,-0.4358148070973691,41.08663258153389,32.67320798207843
Lasso_Baseline,Cerro Navia,2436,0.46618891078602887,15.658958362697824,11.14280963159123
Lasso_Baseline,El Bosque,904,-5.96305822175625,38.06556772045165,36.29869696893338
Lasso_Baseline,Independencia,2491,-0.3744453021485292,23.550923128206122,20.991780995838365
Lasso_Baseline,Las Condes,2413,-1.0689323559630073,17.58095083458643,15.284596695424979
Lasso_Baseline,Parque O'Higgins,2460,-1.0387164558125224,43.619246744519366,37.25083970105788
Lasso_Baseline,Pudahuel,2432,0.29475186022372346,13.59069179178169,10.516728636531889
Lasso_Baseline,Talagante,1921,-0.6131420200257116,22.403495754872463,17.93717190312061
Lasso_Enhanced,Cerrillos II,1287,-0.7033142147857974,44.75058530033544,36.54971907217743
Lasso_Enhanced,Cerro Navia,2436,0.14021553127678332,19.873020084111182,14.463700124046866
Lasso_Enhanced,El Bosque,904,-10.107218355884344,48.076733546617724,46.665866916282376
Lasso_Enhanced,Independencia,2491,-1.4370908658997177,31.360289650657,29.21288280159287
Lasso_Enhanced,Las Condes,2413,-1.3090520627123445,18.573171812004393,16.235888639428516
Lasso_Enhanced,Parque O'Higgins,2460,-0.9628941814687706,42.80043580701657,36.28910778212614
Lasso_Enhanced,Pudahuel,2432,-0.8043324839994299,21.738464933066535,19.329083477816738
Lasso_Enhanced,Talagante,1921,-311.65196107596614,311.8961872233666,311.6017916815327
