,datetime,datetime,datetime,pm25,pm25,pm25,validado
,min,max,count,count,mean,std,sum
estacion,,,,,,,
Cerrillos II,2022-04-01,2025-11-11,1321,1294,70.27,34.29,1191
Cerro Navia,2008-05-10,2025-11-11,6395,6001,29.52,22.54,5898
El Bosque,2008-05-09,2022-11-14,5303,4406,26.66,14.36,4406
Independencia,2000-01-01,2025-11-11,28341,27158,26.81,17.63,26752
Las Condes,2008-05-21,2025-11-11,6384,5979,24.38,13.32,5875
Parque O'Higgins,1997-04-02,2025-11-11,17674,17372,72.85,35.86,17267
Pudahuel,2016-04-22,2025-11-11,3491,3360,24.55,16.52,3257
Puente Alto,2008-05-19,2016-06-28,5889,5314,54.14,39.25,5296
Talagante,2008-05-26,2025-11-11,6379,5098,22.38,16.68,5000
