feature,spatial_importance,temporal_importance,ratio
distance_to_center_km,0.3419909750739024,2.7549343141088684e-05,12413.76149414747
wind_direction_rad,0.21608563045865778,5.713745655713476e-05,3781.855957179024
day_of_year,0.1098490701151793,9.386521134925752e-05,1170.2852264024461
era5_u_component_of_wind_10m,0.059077762889708854,5.432776668430422e-05,1087.4322007935023
day_of_week,0.023621019568056092,6.867840133029518e-05,343.9366541812101
precipitation_sum7,0.01964200689602849,0.0001199515751317,163.7494703547051
wind_direction_deg,0.01693137531605065,4.448210718581246e-05,380.63339142914754
s5p_no2,0.010513517643511435,7.874239057986466e-05,133.5178874566689
era5_total_precipitation_hourly,0.009417143501843956,0.0001768122055385,53.26070942423383
wind_speed,0.007108413444163467,7.754801415784224e-05,91.6646740907499
is_weekend,0.006386497611187555,1.273049999342234e-05,501.66903220512654
wind_no2_interaction,0.005463467258112039,7.138772560399125e-05,76.53230596558717
humidity_aod_interaction,0.005106824619467987,7.698804961683e-05,66.33269247480206
temp_aod_interaction,0.004690010117375306,6.7341603824533e-05,69.64506116598761
era5_dewpoint_temperature_2m,0.004347670396088686,5.21398905705133e-05,83.38472422010464
era5_v_component_of_wind_10m,0.004196224317974125,6.43408876187439e-05,65.21862649516314
dewpoint_celsius,0.004034726959798736,5.5364604121336256e-05,72.87556777171724
modis_aod,0.0036220999177119127,8.267810793776701e-05,43.80966144554637
era5_surface_pressure,0.0034794700802202225,0.0001112986179788,31.26247336586863
relative_humidity,0.0033601015456902667,0.0001075817477227,31.233007613439966
surface_pressure_hpa,0.0031482196444441116,7.299819390729431e-05,43.127363513161214
temperature_celsius,0.002141764909300876,4.039395377591885e-05,53.021918111361124
era5_temperature_2m,0.00201226457673291,4.8916657489602616e-05,41.136591909629615
atmospheric_stability,0.0017799685635065394,3.9246735359005374e-05,45.35328982715287
elevation_normalized,0.0014230104856519262,1.7391230999717926e-05,81.82344801670487
season,0.000245572296350644,1.0788692878936405e-05,22.762006399319578
quarter,0.00016857409445353535,8.911008014429084e-06,18.917511260294344
