feature,importance
pm25_lag_1d,0.3868073
pm25_rolling_mean_3d,0.28536573
pm25_diff_1d,0.14351486
pm25_rolling_mean_14d,0.09911179
elevation,0.01020961
pm25_lag_3d,0.008883048
month,0.006437756
month_sin,0.005189941
day_of_year_sin,0.0047288574
pm25_rolling_std_3d,0.0044963746
pm25_rolling_mean_7d,0.004208255
pm25_lag_2d,0.0039108014
pm25_rolling_std_14d,0.0035168442
era5_total_precipitation_hourly,0.0033081607
precipitation_sum7,0.0030068753
day_of_year_cos,0.0029855676
day_of_week,0.0028495633
pm25_rolling_std_7d,0.0027713606
pm25_lag_7d,0.0021843414
day_of_week_cos,0.0021098976
pm25_lag_14d,0.002022222
lat,0.001943459
year,0.0018245088
month_cos,0.0014698503
day_of_year,0.0009724933
wind_direction_deg,0.00090725656
wind_direction_rad,0.0008162588
s5p_no2,0.0007407086
season_1,0.00067671045
distance_to_center_km,0.0006315131
season_2,0.000586059
day,0.00052177545
day_of_week_sin,0.00045382444
era5_u_component_of_wind_10m,0.00036051328
lon,0.0003089071
lat.1,0.000103672995
is_weekend,6.342377e-05
season_0,0.0
season_3,0.0
